authorAvatar,authorId,authorName,authorUsername,createdAt,id,images/0/alt,images/0/aspectRatio/height,images/0/aspectRatio/width,images/0/fullsize,images/0/thumb,images/1/alt,images/1/aspectRatio/height,images/1/aspectRatio/width,images/1/fullsize,images/1/thumb,images/2/alt,images/2/aspectRatio/height,images/2/aspectRatio/width,images/2/fullsize,images/2/thumb,images/3/alt,images/3/aspectRatio/height,images/3/aspectRatio/width,images/3/fullsize,images/3/thumb,langs/0,likeCount,link/description,link/thumb,link/title,link/uri,primaryImage,replyCount,repostCount,text,url
https://cdn.bsky.app/img/avatar/plain/did:plc:co3xw2l6urzhm4j5ijbg4yh5/bafkreihuobwxljhy4rgpklfdlgoxvxtauwuiqr5di7bj6yay4qho4jlniq@jpeg,did:plc:co3xw2l6urzhm4j5ijbg4yh5,Center for Advanced Pain Studies,utdpaincenter.bsky.social,2024-12-19T22:54:52.326Z,bafyreieriewv5opy2oej3gzrkhc3fwpfhfll4gpva6aweflrrjla7yclsa,,1224,1246,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:co3xw2l6urzhm4j5ijbg4yh5/bafkreidqzyginx2t42s6vd72d6ehsobrx7hskf5sg5cyq75ucv5l5fww24@jpeg,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:co3xw2l6urzhm4j5ijbg4yh5/bafkreidqzyginx2t42s6vd72d6ehsobrx7hskf5sg5cyq75ucv5l5fww24@jpeg,,,,,,,,,,,,,,,,en,25,,,,,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:co3xw2l6urzhm4j5ijbg4yh5/bafkreidqzyginx2t42s6vd72d6ehsobrx7hskf5sg5cyq75ucv5l5fww24@jpeg?f=.jpeg,0,5,"Immunofluorescence for sensory neurons (soma and axons; green), nociceptors (red), and nuclei (blue) in the human dorsal root ganglion!
Image credit: Adriana Nwasinachi Ezeji
#Painneuroscience #Painresearch #Neuroscience #Scicomm",https://bsky.app/profile/utdpaincenter.bsky.social/post/3ldoxpknons2r
https://cdn.bsky.app/img/avatar/plain/did:plc:y6msusnvv26y7o3ldyvyo6ge/bafkreies4y4hh5odmwrv5vtofmj2jq52ec7c6tzvjrkqwpnfrttybchkny@jpeg,did:plc:y6msusnvv26y7o3ldyvyo6ge,Dr. Sven-Eric Jordt #TobRegSky,sejordt.bsky.social,2024-12-19T21:15:21.278Z,bafyreigadyfmrwjfdbxt3uj2nkryt56mhr4qhbjimtqnxqsthltu32l7ui,,,,,,,,,,,,,,,,,,,,,en,7,"Using technology first designed by Bryan L. Roth, MD, PhD, the Michael Hooker Distinguished Professor of Pharmacology, researchers at the UNC School of Medicine have engineered a molecular technology ...",https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:n7c5zqlu46uvd55a7ezf4iez/bafkreihwkfvmrakh7r2g2qcgw43h6n4byojtvur6r5vijpmhc3c6wrdhsa@jpeg,Researchers Create Gene Therapy with Potential to Treat Peripheral Pain Conditions | Newsroom,https://news.unchealthcare.org/2024/12/researchers-create-gene-therapy-with-potential-to-treat-peripheral-pain-conditions/,,0,3,#PedSky #MedSky #addictionsci #neuroskyence #neurosci #PainResearch 🧪,https://bsky.app/profile/sejordt.bsky.social/post/3ldos5m74lk22
https://cdn.bsky.app/img/avatar/plain/did:plc:ndudsfjw4plbe4j3urpjtc7b/bafkreie2ed2oet22h2ccnofvspdmhwsjncgehm7zqsd7kppzhpjuhlpcv4@jpeg,did:plc:ndudsfjw4plbe4j3urpjtc7b,MargolisLab,margolislabnyu.bsky.social,2024-12-19T15:24:59.843Z,bafyreicedsghj4d4raofqb3dhfybusphqlu4sgeaivhjg53oi4g6fxo724,,,,,,,,,,,,,,,,,,,,,en,3,,,,,,0,1,"Early-life microbiota shapes pain sensitivity via mast cell-derived NGF and TRPV1 trafficking. Germ-free mice show reduced pain unless colonized pre-weaning. #GutBrainAxis #PainResearch
www.mucosalimmunology.org/article/S193...",https://bsky.app/profile/margolislabnyu.bsky.social/post/3ldo6l4lsik26
https://cdn.bsky.app/img/avatar/plain/did:plc:tydnnz7g6yjfzfokksapen5l/bafkreib5yo35jzhahzy3qdv2txfmpzxxvntptwg4cmhg7ji2p777is3h6e@jpeg,did:plc:tydnnz7g6yjfzfokksapen5l,Ted Price,tedpricethepainguy.bsky.social,2024-12-19T12:31:29.993Z,bafyreig2imotszdy6somdd4kefcrtbvujvfjsvg2fwiuenocti6p6xrw2i,,,,,,,,,,,,,,,,,,,,,en,18,,,,,,3,3,"Placebo strikes again, but read the full press release. There is some interesting info in there that needs serious consideration in the pain trials field. #painresearch",https://bsky.app/profile/tedpricethepainguy.bsky.social/post/3ldnuuuygdc2b
https://cdn.bsky.app/img/avatar/plain/did:plc:xzy7rmgg36ok4tncyq27kxwc/bafkreiexvl5jt55wx22zkdl3zy7dqsescajmy2ehxdkh4fslksid2o732i@jpeg,did:plc:xzy7rmgg36ok4tncyq27kxwc,"Nesia Zurek, PhD",docnessmonster.bsky.social,2024-12-18T13:36:50.911Z,bafyreiaw3oh3sxg5gwxlicdkfzzrwt3oghvvew5m3kkselq6rfxmresn3i,,,,,,,,,,,,,,,,,,,,,en,7,,,,,,0,0,Exciting news! Our latest preprint on neuroimmune mechanisms in a murine chronic back pain model is available. Congratulations to @goinsyeah.bsky.social on your first author publication! A big thanks to @alleslab.bsky.social and the entire team for their hard work! #neuroskyence #painresearch,https://bsky.app/profile/docnessmonster.bsky.social/post/3ldli2ssnrc2e
https://cdn.bsky.app/img/avatar/plain/did:plc:oa6gwwfhpqt5yua7nvyrjlmt/bafkreiacqgaepedoshxojedaqrnw4gz5k437q3c7ew4ep6ban5pxcuzsxe@jpeg,did:plc:oa6gwwfhpqt5yua7nvyrjlmt,Alles Lab,alleslab.bsky.social,2024-12-18T12:45:02.219Z,bafyreiahzfzzjxnq4ka2az4xyii4f3xhi5v3ahupl2iybliskvdgokhuoi,,,,,,,,,,,,,,,,,,,,,en,16,"Chronic back pain (CBP) is the leading cause of disability affecting 1 in 10 people worldwide. Symptoms are marked by persistent lower back pain, reduced mobility, and heightened cold sensitivity. Her...",https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:oa6gwwfhpqt5yua7nvyrjlmt/bafkreicy5jwzlhxanyr4imzpmqy7xll4fmqb7oyk4vkg2m43dsl43p4izy@jpeg,Neuroimmune mechanisms of a mouse model of chronic back pain,https://www.biorxiv.org/content/10.1101/2024.12.13.628454v1,,0,2,It is with great pride that I share the bulk of thesis work from my first PhD Cand @goinsyeah.bsky.social on neuroimmune mechanisms of chronic back pain! This is a new direction for the lab led by Aleyah's sheer curiosity and drive. Congrats Aleyah! #PainResearch www.biorxiv.org/content/10.1...,https://bsky.app/profile/alleslab.bsky.social/post/3ldlf664ur22l
https://cdn.bsky.app/img/avatar/plain/did:plc:xpg3phnkabefr2ht5st3wx5v/bafkreiby5yqw5b6spxcvucp67iahqbhbkfcxpmsn4fskz6fky5letd2go4@jpeg,did:plc:xpg3phnkabefr2ht5st3wx5v,Migraine Science Collaborative (MSC),migrainecollab.bsky.social,2024-12-17T17:56:53.865Z,bafyreigsjilo2n6kudhmjftqlk6tunydxnolbergdmd7vcrf5mdj45ijw4,,,,,,,,,,,,,,,,,,,,,en,1,Migraine Science Collaborative most popular articles in 2024.,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:xpg3phnkabefr2ht5st3wx5v/bafkreiev33ky6eohv6kb2ar2pzxn44t4rrqqi2htasmyj5y6ssgylgwmmu@jpeg,What Were You Reading on Migraine Science Collaborative in 2024? A Top 10 List - Migraine Science Collaborative,https://migrainecollaborative.org/what-were-you-reading-on-migraine-science-collaborative-in-2024-a-top-10-list,,0,0,"What Were You Reading on Migraine Science Collaborative in 2024? Take a look at our Top 10 list to find out! An interview focusing on people who have never had a headache took the #1 spot.

migrainecollaborative.org/what-were-yo...

#migrainresearch #headacheresearch #painresearch",https://bsky.app/profile/migrainecollab.bsky.social/post/3ldjg4viakk2v
https://cdn.bsky.app/img/avatar/plain/did:plc:7lkam2dnuw27qsmzrwyja4mh/bafkreidd6cdnbqu2vlj472536efaqeepyodaovjhmjx7cql5a7v6sabc4q@jpeg,did:plc:7lkam2dnuw27qsmzrwyja4mh,criispapdp.bsky.social,criispapdp.bsky.social,2024-12-17T09:19:13.780Z,bafyreieowtq4exukec4b5uhxt5eogepizpk75ejfzgsygz7iudunwzsikm,,,,,,,,,,,,,,,,,,,,,en,2,,,https://criisp.uk/2024/12/10/how-well-can-we-measure-chronic-pain-impact-in-existing-longitudinal-cohort-studies/,https://t.co/ET534AwspG,,0,0,"Millions live with chronic pain, but are we truly understanding its impact? Our research explores the limitations of current methods and offers insights for improvement. Read more on the CRIISP blog t.co/ET534AwspG

#ChronicPain #PainResearch #Healthcare #blog",https://bsky.app/profile/criispapdp.bsky.social/post/3ldij7abnd22l
https://cdn.bsky.app/img/avatar/plain/did:plc:v64yb25m5ogfs7d7acqjmwio/bafkreiafenso5e72xuuoqa25blmrou4slekdaihw7j7r2fukpflnevv6qe@jpeg,did:plc:v64yb25m5ogfs7d7acqjmwio,Sara E. Jager,thisissarajager.bsky.social,2024-12-17T07:29:46.848Z,bafyreihvmdg7iurcq4y7iu4kx47j4ut52w32pxzi3q6imuqwikxqrgbx6u,,,,,,,,,,,,,,,,,,,,,en,3,"Neuropathic pain is a particularly intractable type of chronic pain that can result from physical nerve damage due to surgery or entrapment. Here, we present data which suggest that a particular subcl...",https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:3axv6ug24cx6x5eqepvtjxyk/bafkreifmlmt7a3uikrhb7fr53jxvw6gumunb43urgc5cinq3f2eca3ggmi@jpeg,A role for fibroblast and mural cell subsets in models of neuropathic pain,https://www.biorxiv.org/content/10.1101/2024.12.11.627455v1,,0,0,"Gonna look at my results with new eyes after this preprint 🤩

I have some 3D imaged mouse leg after SNI that needs further analysis on the blood nerve barrier #PainResearch 🧪",https://bsky.app/profile/thisissarajager.bsky.social/post/3ldid3jkqss2q
https://cdn.bsky.app/img/avatar/plain/did:plc:oa6gwwfhpqt5yua7nvyrjlmt/bafkreiacqgaepedoshxojedaqrnw4gz5k437q3c7ew4ep6ban5pxcuzsxe@jpeg,did:plc:oa6gwwfhpqt5yua7nvyrjlmt,Alles Lab,alleslab.bsky.social,2024-12-17T02:28:27.950Z,bafyreib4subn7dbl3s3qx7lz3yx3h4zxkxncsuqmsj2735cmbjjbnfzhyy,Alles Lab,1333,1999,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:oa6gwwfhpqt5yua7nvyrjlmt/bafkreigj7j2sm6grk4ytim24kgsjsvbicijg47oe4gzaoh3eanqxstr2qa@jpeg,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:oa6gwwfhpqt5yua7nvyrjlmt/bafkreigj7j2sm6grk4ytim24kgsjsvbicijg47oe4gzaoh3eanqxstr2qa@jpeg,,,,,,,,,,,,,,,,en,8,,,,,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:oa6gwwfhpqt5yua7nvyrjlmt/bafkreigj7j2sm6grk4ytim24kgsjsvbicijg47oe4gzaoh3eanqxstr2qa@jpeg?f=.jpeg,0,4,Looks like all members of the @alleslab.bsky.social will be moving! Most of us to Cincy & one of us for a great postdoc opportunity elsewhere. Excited to see great things from each of you! 💪👩‍🔬🔬 #PainResearch @docnessmonster.bsky.social @goinsyeah.bsky.social @drjones26.bsky.social,https://bsky.app/profile/alleslab.bsky.social/post/3ldhsaq7fe22o
